0,1,2,3,4,5,6,7,8
14.75,7.79,30.0,4.0,4.0,4.0,2.5,2.0,0
10.1,8.2,60.0,3.0,4.0,3.5,3.5,3.2,0
4.7,5.5,20.0,1.0,1.5,2.0,3.0,3.0,0
17.0,12.6,50.0,4.3,4.0,3.2,4.0,3.5,0
10.3,9.4,80.0,3.0,2.5,3.0,3.0,3.0,0
21.6,12.0,40.0,4.0,3.7,3.5,3.5,3.0,0
11.3,10.0,40.0,2.7,2.0,3.2,4.0,3.0,0
12.7,9.3,80.0,2.9,4.0,3.2,3.9,3.4,0
5.4,4.5,20.0,1.0,2.0,3.0,3.0,3.0,0
6.8,5.5,60.0,2.5,3.5,3.5,3.5,3.0,0
17.8,10.0,10.0,4.0,4.0,3.5,4.0,2.0,0
20.4,10.2,60.0,4.0,4.0,3.0,3.0,2.5,0
19.1,9.7,60.0,3.7,3.0,2.0,2.0,1.5,0
15.5,9.8,40.0,4.0,3.5,3.5,3.5,3.0,0
13.5,7.7,30.0,3.0,2.0,3.3,4.0,3.5,0
20.8,12.0,20.0,3.0,4.0,3.0,3.5,3.0,0
11.5,5.8,40.0,1.5,2.0,2.5,3.5,2.5,0
37.6,13.0,10.0,5.0,4.0,2.0,2.0,1.0,0
24.5,12.0,20.0,4.0,4.0,4.0,4.0,2.0,0
17.6,9.0,90.0,4.5,2.5,3.0,2.0,1.5,0
16.2,10.2,60.0,4.0,2.3,3.0,3.3,3.0,1
11.5,9.0,20.0,2.7,3.7,4.0,4.0,3.0,0
7.6,5.5,20.0,1.0,2.0,2.0,3.0,3.0,0
3.4,5.5,50.0,1.0,1.0,3.0,3.0,3.0,0
17.6,12.6,71.0,3.5,3.0,3.3,2.5,2.0,0
14.0,10.0,100.0,2.5,1.5,3.0,4.0,4.0,0
8.8,11.4,100.0,2.0,2.0,4.0,4.0,4.0,0
15.8,10.0,38.0,3.5,3.5,3.3,3.5,3.0,0
15.5,10.5,50.0,3.0,3.3,3.3,3.0,3.0,1
14.6,11.1,100.0,4.0,3.0,3.5,3.5,3.3,0
17.3,13.2,71.0,3.3,3.0,3.0,3.0,3.0,0
13.3,10.8,75.0,4.0,3.8,4.0,4.0,4.0,1
19.8,10.7,75.0,4.5,3.0,3.0,3.0,2.5,0
5.2,4.3,75.0,0.5,0.5,4.0,4.0,4.0,0
15.0,11.3,88.0,2.3,1.7,3.0,3.0,2.0,0
15.3,10.8,75.0,3.0,3.0,3.0,4.0,3.5,1
19.0,16.0,88.0,4.3,3.0,4.8,4.0,4.0,1
7.2,6.0,50.0,1.3,1.3,4.0,4.0,4.0,0
15.9,12.8,100.0,4.0,4.0,3.3,4.0,3.0,1
18.1,14.8,100.0,4.6,4.0,4.3,4.3,4.0,1
17.0,14.1,88.0,4.5,3.0,3.7,3.7,3.7,1
26.1,16.0,38.0,5.0,3.0,4.0,4.0,2.7,1
12.2,13.8,50.0,2.0,1.5,3.0,3.0,3.0,0
9.3,4.3,63.0,1.0,1.2,1.0,1.0,1.0,0
22.6,13.4,100.0,5.0,3.0,2.3,2.7,2.0,1
7.8,7.4,63.0,1.0,1.0,3.0,3.0,3.0,0
16.4,13.3,100.0,4.5,3.0,3.3,3.3,2.7,0
11.9,9.7,100.0,2.3,1.8,3.0,3.5,3.2,0
10.4,9.4,88.0,2.0,1.7,4.0,4.0,4.0,0
13.5,10.0,13.0,3.0,4.0,3.0,4.0,3.3,0
23.0,11.0,13.0,3.0,3.5,2.0,1.0,1.0,0
23.7,12.6,88.0,5.0,3.3,3.0,2.0,2.0,0
33.8,16.0,50.0,5.0,3.0,2.0,2.0,0.5,0
17.0,15.3,75.0,4.7,4.0,3.5,4.0,4.0,1
20.8,12.6,63.0,4.0,3.0,3.3,3.5,3.5,0
6.5,4.4,63.0,0.5,0.5,4.0,4.5,4.0,0
10.4,6.4,75.0,1.7,1.5,0.0,0.0,0.0,0
12.6,8.0,37.0,2.5,3.5,4.0,4.0,4.0,0
22.2,14.6,63.0,5.0,3.0,4.0,4.0,3.2,1
19.6,15.4,100.0,5.0,3.0,5.0,4.3,3.0,1
9.8,7.5,75.0,1.7,1.3,3.3,4.0,3.5,0
15.2,14.4,100.0,4.5,4.0,3.0,4.0,3.0,0
19.6,16.6,100.0,5.0,3.0,4.0,4.0,3.0,1
17.0,14.1,88.0,4.5,3.0,3.7,3.7,3.7,1
26.0,14.0,88.0,5.0,3.5,3.5,4.0,3.3,1
8.9,5.2,63.0,2.5,1.8,3.0,3.0,3.0,0
10.3,7.8,100.0,2.3,2.0,3.0,3.0,3.0,0
19.6,12.3,75.0,3.3,3.0,3.3,3.5,3.5,1
20.1,6.9,88.0,3.0,2.5,1.0,0.5,0.0,0
13.5,4.0,13.0,0.5,0.0,1.0,1.0,1.0,0
14.2,10.8,100.0,3.0,2.8,3.3,3.3,3.0,0
13.1,10.6,88.0,2.0,2.0,3.0,3.0,3.0,0
9.6,7.0,100.0,2.6,2.0,3.0,3.0,3.0,0
18.9,9.0,13.0,2.0,3.5,3.0,3.5,3.0,0
20.0,13.2,75.0,4.5,3.0,4.0,4.0,4.0,1
26.6,13.5,75.0,5.0,3.0,2.5,2.0,1.0,0
23.9,12.7,37.0,4.0,3.0,3.0,3.0,3.0,0
17.8,12.2,63.0,4.7,3.1,3.0,3.0,3.0,0
21.4,12.7,75.0,4.6,4.0,3.0,3.0,3.0,1
7.8,5.3,50.0,1.0,1.5,4.0,4.0,4.0,0
13.1,10.1,100.0,2.0,2.0,2.0,2.0,2.0,0
15.1,12.3,88.0,3.5,3.0,3.3,4.0,4.0,1
24.5,13.5,75.0,5.0,3.0,4.0,4.0,2.5,1
23.7,13.3,88.0,5.0,3.0,3.5,3.5,2.5,1
10.5,7.6,88.0,2.3,2.0,3.0,3.5,3.0,0
14.0,10.3,100.0,3.5,4.0,2.0,3.0,2.0,0
21.8,13.8,100.0,5.0,3.0,3.0,3.0,2.0,1
16.4,12.1,88.0,4.8,3.0,3.3,3.5,2.0,1
17.6,12.4,100.0,3.5,3.3,3.0,3.0,2.0,0
12.2,4.4,75.0,3.0,2.0,3.0,2.5,2.5,0
9.0,6.8,100.0,2.0,1.5,2.0,4.0,3.5,0
20.3,13.6,63.0,4.0,2.7,3.0,2.5,2.0,0
8.8,6.3,100.0,2.0,2.0,1.0,2.0,2.0,0
2.86,3.2,25.0,2.0,2.0,2.0,2.0,2.0,0
4.49,4.11,44.0,2.5,3.0,3.0,3.0,3.0,0
9.89,6.68,100.0,3.5,2.0,3.0,4.0,3.0,1
5.34,3.05,75.0,2.7,1.0,3.0,4.0,4.0,0
3.28,4.07,75.0,2.0,3.0,3.0,3.0,3.0,0
7.62,5.39,100.0,3.0,3.0,3.0,3.5,3.0,0
6.05,5.39,88.0,4.0,4.0,3.5,3.5,3.5,0
6.38,5.07,88.0,3.0,4.0,3.5,4.0,4.0,1
6.16,4.3,40.0,3.0,2.0,1.0,1.0,1.0,0
19.92,7.37,13.0,2.0,2.5,3.0,3.0,3.0,0
3.91,3.91,63.0,2.5,1.5,3.0,4.0,3.0,0
10.75,9.26,88.0,4.0,4.0,4.0,4.0,4.0,1
3.63,5.02,63.0,4.0,3.5,4.0,4.0,3.5,0
6.14,5.86,75.0,4.0,3.0,4.0,4.0,4.0,1
5.3,4.88,38.0,3.5,3.0,4.0,4.0,4.0,0
14.93,9.39,63.0,4.0,3.0,3.0,2.5,2.5,0
3.21,3.72,50.0,1.5,2.0,2.0,4.0,4.0,0
5.93,6.48,100.0,1.8,1.8,2.0,2.0,3.0,0
6.24,4.85,25.0,2.5,4.0,3.0,3.0,3.0,0
1.03,2.17,13.0,2.0,2.0,2.0,2.0,2.0,0
6.29,4.62,100.0,3.0,2.5,2.0,2.0,2.5,0
11.43,7.83,88.0,3.0,2.0,3.5,4.0,4.0,1
3.98,3.98,75.0,3.0,2.0,3.0,4.0,3.0,0
2.8,2.92,75.0,2.5,1.8,3.2,3.5,3.5,0
6.07,5.89,63.0,3.0,3.0,2.0,2.0,2.5,0
4.04,4.66,50.0,2.5,3.0,3.5,3.5,3.5,0
11.03,6.25,38.0,3.5,3.5,3.0,2.5,2.0,0
12.49,10.12,63.0,4.5,3.0,3.5,3.5,3.5,1
9.99,6.83,88.0,4.0,3.0,3.5,3.0,2.5,0
17.74,9.99,100.0,5.0,3.0,3.0,2.5,2.0,1
2.73,3.77,100.0,2.5,4.0,3.5,4.5,4.0,0
2.79,2.9,75.0,2.0,2.0,2.0,2.0,3.0,0
9.88,8.94,88.0,4.0,3.0,3.5,3.5,3.5,0
8.63,8.21,100.0,4.0,3.0,3.5,3.5,3.5,0
4.39,4.03,88.0,1.5,1.5,2.0,2.0,3.0,0
7.94,7.77,100.0,3.5,4.0,2.5,4.0,3.3,1
6.48,6.42,38.0,4.0,3.5,4.0,4.0,3.5,0
6.28,6.7,100.0,4.0,3.0,4.0,4.0,3.5,0
11.58,8.37,63.0,4.0,3.5,4.0,4.0,3.5,1
3.56,4.27,25.0,3.0,3.0,3.0,3.0,3.0,0
2.57,3.08,75.0,2.0,2.0,2.0,4.0,3.0,0
5.37,5.74,100.0,1.5,1.0,1.5,1.5,2.0,0
2.6,3.64,38.0,1.0,2.0,2.0,2.0,3.0,0
5.26,5.48,63.0,2.0,1.5,2.0,2.0,2.0,0
4.88,4.11,88.0,3.5,2.5,2.0,2.0,2.0,0
7.83,6.68,100.0,3.0,1.8,3.5,4.0,4.0,0
4.62,4.11,88.0,3.0,2.0,2.5,3.5,3.0,0
2.29,2.67,75.0,2.5,1.5,3.0,4.0,4.0,0
7.28,7.45,63.0,4.0,3.0,3.3,3.3,3.0,0
16.54,9.93,100.0,5.0,3.3,3.3,2.5,2.0,1
10.54,7.84,88.0,4.0,3.3,3.3,3.5,3.5,0
3.81,4.73,100.0,3.0,2.7,3.0,3.0,3.5,0
11.57,8.41,100.0,4.0,3.0,3.5,3.5,3.5,1
13.67,8.81,100.0,4.8,3.0,3.5,3.5,3.0,1
7.03,5.99,88.0,3.5,2.7,3.5,4.0,4.0,1
7.68,8.0,88.0,4.5,3.0,4.0,4.0,4.0,1
3.2,3.56,88.0,1.5,1.8,2.5,3.3,3.5,0
6.78,5.62,63.0,3.0,4.0,2.5,3.0,2.0,0
5.16,5.86,75.0,4.0,3.0,4.0,4.0,4.0,1
3.35,5.16,100.0,3.0,3.0,4.5,4.0,4.0,0
3.77,4.88,88.0,4.0,3.5,4.0,4.0,4.0,1
4.49,4.49,88.0,2.3,2.0,2.5,4.0,3.0,0
6.11,5.74,100.0,2.5,1.5,1.5,1.0,1.0,0
3.51,4.68,25.0,1.5,1.5,2.0,2.0,3.0,0
12.0,10.3,38.0,2.8,3.2,2.8,3.2,3.0,0
15.0,8.4,88.0,3.0,3.0,3.0,3.0,2.0,0
13.0,11.1,100.0,3.0,2.0,3.5,3.0,3.0,0
8.6,9.5,100.0,2.0,1.5,4.0,4.0,4.0,0
8.2,6.6,63.0,4.0,4.0,3.0,3.0,3.0,0
15.7,10.0,100.0,4.0,3.0,2.5,2.5,2.5,0
15.9,8.8,75.0,4.0,3.0,3.0,2.0,2.5,0
13.7,9.9,88.0,4.0,3.0,2.5,2.5,2.5,0
11.2,9.1,88.0,4.0,3.5,3.0,3.5,3.0,0
18.9,11.8,75.0,5.0,3.0,2.5,2.5,2.0,0
11.6,8.9,100.0,4.0,3.0,4.0,4.0,4.0,1
8.6,8.9,100.0,3.0,2.5,2.8,3.0,2.8,0
13.4,12.3,88.0,4.0,3.0,3.5,3.0,2.5,1
19.6,11.8,63.0,5.0,3.0,3.5,3.0,2.0,1
11.1,8.7,88.0,3.0,2.0,3.0,4.0,4.0,0
10.8,10.0,75.0,3.0,4.0,3.0,4.0,3.0,0
11.2,12.2,75.0,5.0,3.0,4.0,3.5,3.5,0
14.0,13.0,63.0,5.0,3.0,3.0,2.0,2.5,0
9.0,9.6,75.0,4.0,3.0,4.0,3.0,2.5,0
14.4,12.9,88.0,5.0,3.0,3.0,3.0,2.5,0
8.8,5.3,63.0,3.0,3.0,3.0,4.0,4.0,0
6.5,7.0,50.0,2.5,2.5,3.0,3.0,3.0,0
5.7,5.7,100.0,3.0,2.0,3.0,3.0,3.0,0
8.0,4.9,88.0,3.5,1.5,4.0,4.0,4.0,0
7.3,6.8,2.5,3.5,3.5,3.5,3.5,1.5,0
6.9,5.6,3.0,3.0,3.0,3.0,3.0,2.0,0
7.4,6.6,3.0,2.0,3.0,3.0,3.0,1.0,0
6.6,5.4,3.0,2.0,3.0,3.0,3.5,1.5,0
7.3,5.6,3.5,3.0,2.5,2.5,2.5,1.5,0
19.6,10.3,3.0,3.0,2.5,2.5,2.0,2.0,0
15.4,15.8,4.0,3.0,3.0,3.0,3.0,3.0,0
15.0,11.6,4.0,3.0,2.0,2.0,2.0,3.0,0
13.9,11.1,5.0,3.0,3.0,2.5,2.0,3.0,0
15.6,12.1,4.0,3.0,3.5,3.0,2.0,3.0,0
7.9,8.6,2.5,3.0,2.5,4.0,3.5,1.0,0
6.6,5.8,2.0,3.0,2.5,2.5,3.0,0.5,0
15.2,12.3,5.0,3.0,4.0,3.5,3.0,4.0,0
17.1,12.1,5.0,3.0,3.5,3.0,3.0,4.0,0
5.5,3.4,2.0,1.0,3.0,2.5,3.0,1.0,0
15.3,12.7,3.0,4.0,2.5,3.0,2.0,3.0,0
10.9,9.8,4.0,3.0,2.5,2.0,3.0,4.0,0
13.0,10.4,4.0,3.0,3.5,2.5,2.0,4.0,0
10.6,10.2,4.0,3.0,3.5,2.5,3.0,3.0,0
10.3,10.0,4.0,3.0,4.0,3.0,3.0,3.0,0
3.2,5.9,1.5,3.0,2.0,2.0,2.0,0.0,0
15.0,13.0,2.5,3.0,4.0,4.0,4.0,2.0,0
6.8,5.6,2.0,2.0,2.0,3.0,3.0,0.0,0
7.7,6.1,2.0,2.0,2.0,2.0,3.0,0.5,0
3.1,2.9,2.0,1.5,3.0,3.0,3.5,1.0,0
10.5,6.0,25.0,3.0,3.0,2.0,3.0,2.5,0
1.6,1.8,88.0,1.0,2.0,3.0,3.0,3.0,0
4.0,3.2,63.0,2.0,1.5,3.0,3.0,3.0,0
3.3,2.7,100.0,1.5,1.0,2.0,3.0,3.0,0
9.4,8.5,38.0,3.0,3.0,2.0,1.5,1.0,0
11.0,8.1,100.0,4.0,3.0,2.0,2.0,2.0,1
7.8,5.6,88.0,3.0,3.0,2.0,2.0,2.0,0
10.1,9.5,75.0,3.0,3.0,2.0,2.0,2.0,0
6.9,7.3,88.0,3.5,3.0,3.0,3.5,3.0,0
11.9,9.6,88.0,4.0,3.0,2.5,2.5,2.5,0
10.4,9.4,100.0,4.0,3.0,2.0,3.5,3.0,1
3.5,2.9,75.0,1.0,1.0,3.0,3.0,3.0,0
5.7,5.6,100.0,3.0,2.5,4.0,5.0,4.0,0
10.5,7.5,63.0,3.5,2.5,2.5,2.0,2.5,0
4.3,3.2,100.0,1.5,1.0,2.5,3.5,3.0,0
13.6,7.3,38.0,3.0,3.0,2.0,2.5,2.0,0
12.3,8.2,75.0,4.0,3.0,3.0,2.0,2.0,1
9.7,7.1,100.0,4.0,3.0,2.0,2.5,2.5,1
13.0,9.0,88.0,4.0,3.0,3.5,3.0,3.0,1
4.9,2.8,63.0,2.0,3.0,3.0,3.5,3.5,0
6.0,7.0,13.0,3.0,3.0,4.0,4.0,4.0,0
11.8,7.4,88.0,2.5,2.0,2.5,3.0,3.0,0
6.2,5.3,100.0,2.0,2.0,2.5,2.5,3.0,0
1.5,1.8,88.0,1.5,1.0,3.0,4.0,3.0,0
6.02,3.63,38.0,2.5,3.0,3.0,3.0,3.0,0
2.29,3.2,50.0,1.0,1.0,3.0,3.0,3.0,0
3.31,4.34,50.0,3.0,2.5,3.0,3.0,3.0,0
53.86,5.01,100.0,2.5,3.5,3.0,3.0,3.0,0
19.66,12.21,100.0,4.5,4.0,4.0,3.0,2.7,0
22.23,12.82,100.0,5.0,4.0,3.0,3.0,2.0,0
1.82,2.43,13.0,1.0,2.5,3.0,3.0,3.0,0
6.97,5.23,25.0,2.0,3.0,2.5,2.0,3.0,0
12.21,8.72,75.0,3.3,3.5,3.0,4.0,3.5,0
6.6,8.1,50.0,2.8,4.0,3.0,4.0,3.5,0
7.48,3.74,25.0,3.0,3.5,3.0,4.0,3.5,0
9.65,8.01,100.0,3.0,2.0,3.0,3.5,3.0,0
3.53,3.3,75.0,1.8,2.0,2.5,3.0,3.0,0
15.02,8.04,75.0,3.0,4.0,3.0,3.2,2.5,0
11.27,7.14,75.0,2.5,3.0,3.0,4.0,3.0,0
2.72,3.43,50.0,1.0,1.0,2.0,2.0,3.0,0
2.1,3.38,50.0,1.0,1.0,3.0,3.0,3.0,0
7.5,8.08,25.0,2.0,3.0,3.0,4.0,4.0,0
4.39,5.19,50.0,2.5,3.5,3.0,4.5,4.0,0
12.26,6.81,71.0,4.2,3.0,3.0,2.0,2.0,0
3.54,3.43,100.0,2.5,2.0,3.3,3.3,3.3,0
3.09,2.63,75.0,2.5,2.0,3.3,3.3,3.3,0
5.5,4.89,25.0,1.5,3.0,3.0,3.0,3.0,0
6.97,8.95,75.0,2.0,2.0,3.0,3.0,3.0,0
5.73,4.98,75.0,2.7,3.0,3.0,4.0,3.0,0
19.44,15.38,75.0,4.5,3.5,3.5,4.0,3.0,1
10.97,9.97,75.0,3.5,3.0,3.2,4.0,3.0,0
5.86,4.36,75.0,3.0,3.0,3.0,4.0,3.0,0
17.6,14.08,50.0,5.0,3.5,4.0,4.0,3.5,1
6.34,6.45,50.0,3.0,3.0,4.0,4.0,4.0,0
1.17,2.34,25.0,1.0,3.0,3.0,3.0,3.0,0
6.97,5.32,50.0,2.0,3.5,2.0,3.0,3.0,0
2.1,3.85,25.0,1.0,2.0,3.0,3.0,3.0,0
11.77,8.08,75.0,3.0,4.0,3.0,4.0,3.0,1
9.65,6.24,25.0,2.8,3.0,3.0,3.0,2.5,0
0.58,1.75,25.0,1.5,3.0,3.0,3.0,3.0,0
11.62,11.62,2.0,2.0,2.0,4.0,3.0,3.0,0
9.06,6.97,25.0,1.3,1.0,2.0,2.0,3.0,0
15.31,11.77,75.0,3.0,2.0,4.0,4.0,4.0,1
7.65,8.24,25.0,2.0,2.0,4.0,4.0,4.0,0
6.42,8.24,25.0,3.0,2.0,4.0,4.0,4.0,0
19.13,13.5,50.0,5.0,4.0,4.0,4.0,3.0,1
15.26,14.08,25.0,3.0,4.0,4.0,4.0,3.0,1
4.84,4.13,50.0,2.0,1.5,3.0,3.0,3.0,0
7.58,6.06,38.0,2.0,2.0,3.0,3.0,3.0,0
24.24,17.9,38.0,3.5,3.5,3.0,3.3,2.5,0
20.24,14.6,63.0,3.0,3.5,3.0,3.7,2.5,0
17.4,14.14,63.0,3.5,4.0,3.7,4.0,3.5,0
17.36,15.64,50.0,3.5,3.5,2.5,2.5,2.5,0
41.04,16.6,50.0,3.3,3.0,2.0,1.5,1.5,0
15.02,9.92,100.0,3.5,4.0,2.7,4.0,2.5,0
17.83,11.8,50.0,3.0,3.0,3.0,4.0,2.5,0
20.8,10.23,13.0,3.0,3.0,3.0,2.5,3.0,0
24.89,16.71,63.0,3.0,2.5,2.7,3.0,2.0,0
19.13,10.66,38.0,3.5,3.0,2.5,2.5,2.0,0
17.59,12.2,50.0,3.0,2.7,3.0,3.5,2.7,0
19.35,17.3,50.0,2.5,2.0,3.2,4.0,4.0,0
21.7,17.42,88.0,3.0,3.5,3.0,3.3,2.3,0
7.84,3.34,38.0,2.0,2.3,1.5,2.0,2.0,0
25.57,17.43,50.0,3.7,3.0,2.7,3.0,2.0,0
6.87,9.4,50.0,1.5,3.0,2.0,2.0,2.0,0
31.87,20.52,25.0,3.7,3.5,2.5,2.5,1.5,0
15.11,15.54,75.0,3.7,3.0,3.3,3.5,3.5,0
21.72,14.75,38.0,3.0,3.0,3.0,4.0,2.3,0
24.95,19.69,50.0,3.5,3.0,2.7,3.0,2.7,0
17.35,16.11,38.0,3.0,3.0,2.5,3.5,2.5,0
18.81,19.09,75.0,3.0,3.0,3.5,4.0,3.0,1
15.35,11.87,75.0,2.9,2.7,2.5,3.0,2.5,0
22.6,12.61,63.0,3.5,3.0,2.0,2.0,1.5,0
21.45,16.76,75.0,3.0,3.2,3.3,3.5,3.0,0
15.15,15.82,75.0,3.0,3.0,3.1,3.4,3.0,0
20.46,19.26,50.0,3.0,2.2,3.3,3.3,3.0,0
20.8,15.41,25.0,3.5,2.8,3.3,3.2,3.5,0
22.98,19.9,50.0,4.0,2.7,3.5,3.3,3.5,1
16.99,16.52,25.0,3.0,2.7,3.2,3.7,3.2,0
19.67,20.14,50.0,3.0,2.0,3.3,3.7,4.0,0
29.47,14.67,88.0,4.0,4.0,3.0,3.0,1.7,1
23.29,17.74,75.0,3.0,3.0,3.0,3.5,2.5,1
24.55,15.98,13.0,3.0,2.7,4.0,3.3,3.0,0
23.53,21.06,50.0,4.5,3.5,3.3,3.2,2.8,0
3.62,6.03,25.0,1.0,3.0,2.5,2.5,3.0,0
31.73,18.88,63.0,3.8,3.2,3.0,3.0,2.0,0
18.88,10.53,63.0,3.5,3.0,2.0,2.0,1.5,0
24.4,20.33,75.0,4.5,3.5,3.3,3.2,2.8,0
18.4,14.18,50.0,3.5,3.2,2.0,2.5,1.5,0
18.59,8.26,13.0,2.5,3.5,2.0,2.0,2.0,0
14.87,15.56,38.0,3.5,3.5,3.3,3.3,3.0,0
41.51,14.6,25.0,3.0,3.0,1.5,1.5,1.0,0
19.04,14.75,50.0,3.5,4.0,2.5,2.5,2.0,0
15.55,12.87,63.0,3.0,3.0,2.5,3.0,2.0,0
25.4,18.75,13.0,3.7,2.7,2.0,2.5,2.3,0
47.73,18.55,13.0,3.5,2.7,2.0,2.0,2.0,0
21.7,17.33,25.0,3.3,3.0,3.0,3.0,3.0,0
34.67,15.41,13.0,4.0,3.0,2.5,2.5,2.0,0
7.4,13.38,25.0,1.0,2.0,3.2,3.0,3.0,0
22.03,19.34,50.0,4.0,2.5,3.3,3.3,3.0,1
32.75,16.37,50.0,4.0,4.0,2.0,2.0,2.0,1
27.4,17.9,38.0,3.0,3.3,2.5,3.0,2.0,0
23.1,18.59,63.0,4.0,3.5,3.3,3.3,3.0,0
20.34,18.45,75.0,3.5,3.0,3.3,3.3,3.0,0
5.18,4.82,38.0,1.0,2.0,2.0,2.0,2.0,0
15.05,9.05,25.0,4.0,4.0,2.0,1.5,1.0,0
22.08,21.79,50.0,3.5,3.0,3.3,3.3,3.0,0
26.28,20.11,25.0,3.1,3.0,3.0,3.0,2.0,0
17.41,12.44,50.0,3.5,3.3,3.0,3.5,3.0,0
12.96,11.21,88.0,4.0,4.0,2.5,2.0,2.0,0
6.77,7.19,75.0,3.0,3.0,2.7,3.0,3.0,0
2.95,4.43,13.0,1.0,2.0,3.0,3.0,3.0,0
7.68,6.56,50.0,3.0,3.5,3.5,4.0,4.0,0
16.69,11.67,75.0,3.0,3.8,3.4,4.0,3.5,0
8.46,7.05,13.0,2.0,3.0,3.0,3.0,3.0,0
5.35,5.9,25.0,2.0,1.8,2.0,2.5,3.0,0
14.82,14.23,50.0,3.0,1.7,4.0,4.0,3.5,0
9.19,7.81,50.0,2.8,3.0,3.0,4.0,3.0,0
5.19,4.44,13.0,1.5,2.5,3.0,3.0,3.0,0
9.73,11.04,75.0,3.0,3.0,3.5,4.0,3.5,0
13.54,8.81,88.0,2.7,2.0,2.5,3.0,3.0,0
5.78,7.21,13.0,1.5,3.0,4.0,4.0,4.0,0
5.36,4.61,63.0,3.0,3.0,2.0,2.0,3.0,0
11.88,9.81,63.0,3.0,4.0,2.5,2.5,2.5,0
14.03,9.9,63.0,3.5,4.0,3.5,3.0,3.0,0
23.63,11.82,88.0,4.5,4.0,3.0,2.5,2.0,0
10.39,8.66,38.0,3.0,3.5,3.0,4.0,3.0,0
7.83,6.79,100.0,3.0,3.0,3.5,4.5,3.5,0
11.23,10.34,50.0,3.0,3.5,3.3,4.0,3.5,0
9.13,8.01,75.0,2.8,2.0,3.3,3.3,3.0,0
11.66,8.57,75.0,3.0,2.5,2.5,2.5,2.5,0
3.81,4.93,13.0,2.0,2.5,3.0,4.0,3.0,0
16.16,10.98,13.0,3.5,2.5,3.0,4.0,3.0,0
8.83,7.91,63.0,3.5,2.5,3.5,4.0,4.0,0
1.38,1.53,13.0,1.0,1.0,3.0,3.0,3.0,0
1.48,2.96,13.0,1.0,3.0,3.0,3.0,3.0,0
9.15,8.42,25.0,3.0,3.5,3.5,4.0,4.0,0
4.79,4.36,38.0,2.0,3.5,3.5,4.0,3.5,0
6.7,6.83,75.0,2.7,2.7,3.0,3.5,3.5,0
15.73,10.67,75.0,3.0,4.0,3.0,4.0,3.0,1
13.13,11.49,88.0,3.0,4.0,3.0,4.0,4.0,1
9.94,7.46,50.0,3.0,4.0,3.0,4.0,3.0,0
5.86,5.61,50.0,3.0,4.0,2.5,2.5,3.0,0
9.12,9.67,50.0,3.0,4.0,3.0,3.0,3.0,0
6.94,5.17,38.0,2.5,3.0,3.0,4.0,3.5,0
16.25,13.29,13.0,3.0,4.0,4.0,3.5,3.0,0
1.59,2.89,38.0,2.5,3.0,3.0,3.0,3.0,0
5.32,5.91,50.0,3.0,4.0,3.5,4.0,3.5,0
24.73,14.19,88.0,4.5,3.0,3.0,3.0,2.8,1
9.13,7.02,13.0,2.8,2.5,3.0,3.0,2.5,0
1.41,2.82,13.0,1.0,3.0,3.0,3.0,3.0,0
2.11,3.1,38.0,1.3,3.0,3.0,3.0,3.0,0
21.43,14.1,38.0,4.0,3.5,3.0,3.5,3.0,0
8.75,7.27,38.0,3.5,2.5,3.0,4.0,3.3,0
3.37,3.68,50.0,2.0,2.5,3.0,4.0,3.0,0
