Dataset,Classifier,Metric,NO OVERSAMPLING,RANDOM OVERSAMPLING,SMOTE,G-SMOTE
BREAST TISSUE (2),GBC,geometric_mean_score,4.0,3.0,2.0,1.0
MANDELON 2 (2),LR,roc_auc,1.0,4.0,3.0,2.0
MANDELON 2 (2),LR,f1,1.0,4.0,3.0,2.0
MANDELON 2 (2),LR,geometric_mean_score,4.0,3.0,2.0,1.0
MANDELON 2 (2),KNN,roc_auc,2.0,3.0,4.0,1.0
MANDELON 2 (2),KNN,f1,4.0,3.0,2.0,1.0
MANDELON 2 (2),KNN,geometric_mean_score,4.0,2.0,3.0,1.0
MANDELON 2 (2),DT,roc_auc,4.0,3.0,2.0,1.0
MANDELON 2 (2),DT,f1,1.0,3.0,4.0,2.0
MANDELON 2 (2),DT,geometric_mean_score,4.0,3.0,2.0,1.0
MANDELON 2 (2),GBC,roc_auc,4.0,3.0,2.0,1.0
MANDELON 2 (2),GBC,f1,4.0,3.0,1.0,2.0
MANDELON 2 (2),GBC,geometric_mean_score,4.0,3.0,2.0,1.0
LED (2),LR,roc_auc,4.0,3.0,2.0,1.0
LED (2),LR,f1,4.0,3.0,1.0,2.0
LED (2),LR,geometric_mean_score,4.0,2.0,3.0,1.0
LED (2),KNN,roc_auc,3.0,2.0,4.0,1.0
LED (2),KNN,f1,1.0,4.0,2.0,3.0
LED (2),KNN,geometric_mean_score,1.0,4.0,2.0,3.0
LED (2),DT,roc_auc,4.0,2.0,3.0,1.0
LED (2),DT,f1,3.0,4.0,2.0,1.0
LED (2),DT,geometric_mean_score,4.0,2.0,3.0,1.0
LED (2),GBC,roc_auc,2.0,3.0,4.0,1.0
LED (2),GBC,f1,3.0,4.0,1.5,1.5
LED (2),GBC,geometric_mean_score,3.0,4.0,1.5,1.5
EUCALYPTUS (2),LR,roc_auc,4.0,2.0,3.0,1.0
EUCALYPTUS (2),LR,f1,4.0,3.0,2.0,1.0
EUCALYPTUS (2),LR,geometric_mean_score,4.0,2.0,3.0,1.0
EUCALYPTUS (2),KNN,roc_auc,3.0,4.0,2.0,1.0
EUCALYPTUS (2),KNN,f1,4.0,2.0,3.0,1.0
EUCALYPTUS (2),KNN,geometric_mean_score,4.0,3.0,2.0,1.0
EUCALYPTUS (2),DT,roc_auc,3.0,4.0,1.0,2.0
EUCALYPTUS (2),DT,f1,4.0,3.0,2.0,1.0
EUCALYPTUS (2),DT,geometric_mean_score,4.0,3.0,1.0,2.0
EUCALYPTUS (2),GBC,roc_auc,1.0,4.0,3.0,2.0
EUCALYPTUS (2),GBC,f1,3.0,4.0,2.0,1.0
EUCALYPTUS (2),GBC,geometric_mean_score,4.0,2.0,3.0,1.0
EUCALYPTUS (3),LR,roc_auc,4.0,2.0,3.0,1.0
EUCALYPTUS (3),LR,f1,4.0,3.0,2.0,1.0
EUCALYPTUS (3),LR,geometric_mean_score,4.0,2.0,3.0,1.0
EUCALYPTUS (3),KNN,roc_auc,4.0,3.0,1.0,2.0
EUCALYPTUS (3),KNN,f1,4.0,2.0,3.0,1.0
EUCALYPTUS (3),KNN,geometric_mean_score,4.0,3.0,2.0,1.0
EUCALYPTUS (3),DT,roc_auc,3.0,4.0,2.0,1.0
EUCALYPTUS (3),DT,f1,3.0,4.0,2.0,1.0
EUCALYPTUS (3),DT,geometric_mean_score,4.0,3.0,1.0,2.0
EUCALYPTUS (3),GBC,roc_auc,2.0,4.0,3.0,1.0
EUCALYPTUS (3),GBC,f1,4.0,3.0,2.0,1.0
EUCALYPTUS (3),GBC,geometric_mean_score,4.0,3.0,2.0,1.0
MANDELON 2 (3),LR,roc_auc,1.0,4.0,2.0,3.0
MANDELON 2 (3),LR,f1,4.0,3.0,2.0,1.0
MANDELON 2 (3),LR,geometric_mean_score,4.0,3.0,2.0,1.0
MANDELON 2 (3),KNN,roc_auc,3.0,4.0,2.0,1.0
MANDELON 2 (3),KNN,f1,3.5,3.5,2.0,1.0
MANDELON 2 (3),KNN,geometric_mean_score,3.5,3.5,2.0,1.0
MANDELON 2 (3),DT,roc_auc,4.0,2.0,3.0,1.0
MANDELON 2 (3),DT,f1,1.0,3.0,4.0,2.0
MANDELON 2 (3),DT,geometric_mean_score,4.0,2.0,3.0,1.0
MANDELON 2 (3),GBC,roc_auc,4.0,2.0,3.0,1.0
MANDELON 2 (3),GBC,f1,4.0,3.0,1.0,2.0
MANDELON 2 (3),GBC,geometric_mean_score,4.0,3.0,2.0,1.0
EUCALYPTUS,LR,roc_auc,4.0,2.0,3.0,1.0
EUCALYPTUS,LR,f1,4.0,2.0,3.0,1.0
EUCALYPTUS,LR,geometric_mean_score,4.0,2.0,3.0,1.0
EUCALYPTUS,KNN,roc_auc,4.0,3.0,2.0,1.0
EUCALYPTUS,KNN,f1,4.0,2.0,3.0,1.0
EUCALYPTUS,KNN,geometric_mean_score,4.0,3.0,2.0,1.0
EUCALYPTUS,DT,roc_auc,1.0,3.0,4.0,2.0
EUCALYPTUS,DT,f1,4.0,3.0,2.0,1.0
EUCALYPTUS,DT,geometric_mean_score,4.0,2.0,3.0,1.0
EUCALYPTUS,GBC,roc_auc,1.0,3.0,4.0,2.0
EUCALYPTUS,GBC,f1,4.0,3.0,2.0,1.0
EUCALYPTUS,GBC,geometric_mean_score,4.0,3.0,2.0,1.0
VEHICLE,LR,roc_auc,3.0,4.0,2.0,1.0
VEHICLE,LR,f1,1.0,4.0,3.0,2.0
VEHICLE,LR,geometric_mean_score,3.0,2.0,4.0,1.0
VEHICLE,KNN,roc_auc,3.0,4.0,2.0,1.0
VEHICLE,KNN,f1,2.0,4.0,3.0,1.0
VEHICLE,KNN,geometric_mean_score,4.0,3.0,2.0,1.0
VEHICLE,DT,roc_auc,2.0,3.0,4.0,1.0
VEHICLE,DT,f1,2.0,4.0,3.0,1.0
VEHICLE,DT,geometric_mean_score,4.0,2.0,3.0,1.0
VEHICLE,GBC,roc_auc,3.0,4.0,2.0,1.0
VEHICLE,GBC,f1,4.0,3.0,2.0,1.0
VEHICLE,GBC,geometric_mean_score,4.0,2.0,3.0,1.0
ECOLI (2),LR,roc_auc,1.0,4.0,3.0,2.0
ECOLI (2),LR,f1,4.0,3.0,2.0,1.0
ECOLI (2),LR,geometric_mean_score,4.0,3.0,2.0,1.0
ECOLI (2),KNN,roc_auc,2.0,4.0,3.0,1.0
ECOLI (2),KNN,f1,1.0,3.0,4.0,2.0
ECOLI (2),KNN,geometric_mean_score,4.0,3.0,2.0,1.0
ECOLI (2),DT,roc_auc,4.0,3.0,2.0,1.0
ECOLI (2),DT,f1,2.0,4.0,3.0,1.0
ECOLI (2),DT,geometric_mean_score,4.0,3.0,2.0,1.0
ECOLI (2),GBC,roc_auc,4.0,3.0,2.0,1.0
ECOLI (2),GBC,f1,2.0,3.0,4.0,1.0
ECOLI (2),GBC,geometric_mean_score,4.0,2.0,3.0,1.0
HABERMAN (3),LR,roc_auc,4.0,2.0,3.0,1.0
HABERMAN (3),LR,f1,4.0,2.0,3.0,1.0
HABERMAN (3),LR,geometric_mean_score,4.0,2.0,3.0,1.0
HABERMAN (3),KNN,roc_auc,3.0,4.0,2.0,1.0
HABERMAN (3),KNN,f1,4.0,3.0,2.0,1.0
HABERMAN (3),KNN,geometric_mean_score,4.0,3.0,2.0,1.0
HABERMAN (3),DT,roc_auc,4.0,3.0,2.0,1.0
HABERMAN (3),DT,f1,4.0,3.0,2.0,1.0
HABERMAN (3),DT,geometric_mean_score,4.0,3.0,2.0,1.0
HABERMAN (3),GBC,roc_auc,3.0,4.0,2.0,1.0
HABERMAN (3),GBC,f1,4.0,3.0,2.0,1.0
HABERMAN (3),GBC,geometric_mean_score,4.0,3.0,2.0,1.0
LIVER (2),LR,roc_auc,3.0,2.0,4.0,1.0
LIVER (2),LR,f1,4.0,3.0,2.0,1.0
LIVER (2),LR,geometric_mean_score,4.0,3.0,2.0,1.0
LIVER (2),KNN,roc_auc,2.0,4.0,3.0,1.0
LIVER (2),KNN,f1,4.0,3.0,2.0,1.0
LIVER (2),KNN,geometric_mean_score,4.0,3.0,2.0,1.0
LIVER (2),DT,roc_auc,3.0,4.0,1.0,2.0
LIVER (2),DT,f1,4.0,3.0,1.0,2.0
LIVER (2),DT,geometric_mean_score,4.0,3.0,2.0,1.0
LIVER (2),GBC,roc_auc,4.0,2.0,3.0,1.0
LIVER (2),GBC,f1,4.0,3.0,2.0,1.0
LIVER (2),GBC,geometric_mean_score,4.0,3.0,2.0,1.0
MANDELON 1 (2),LR,roc_auc,1.0,3.0,4.0,2.0
MANDELON 1 (2),LR,f1,4.0,2.0,3.0,1.0
MANDELON 1 (2),LR,geometric_mean_score,4.0,2.0,3.0,1.0
MANDELON 1 (2),KNN,roc_auc,4.0,3.0,2.0,1.0
MANDELON 1 (2),KNN,f1,4.0,3.0,2.0,1.0
MANDELON 1 (2),KNN,geometric_mean_score,4.0,3.0,1.0,2.0
MANDELON 1 (2),DT,roc_auc,3.0,4.0,2.0,1.0
MANDELON 1 (2),DT,f1,1.0,4.0,3.0,2.0
MANDELON 1 (2),DT,geometric_mean_score,4.0,3.0,2.0,1.0
MANDELON 1 (2),GBC,roc_auc,2.0,4.0,3.0,1.0
MANDELON 1 (2),GBC,f1,2.0,3.0,4.0,1.0
MANDELON 1 (2),GBC,geometric_mean_score,4.0,2.0,3.0,1.0
IRIS (3),LR,roc_auc,2.5,2.5,2.5,2.5
IRIS (3),LR,f1,2.5,2.5,2.5,2.5
IRIS (3),LR,geometric_mean_score,2.5,2.5,2.5,2.5
IRIS (3),KNN,roc_auc,2.5,2.5,2.5,2.5
IRIS (3),KNN,f1,2.5,2.5,2.5,2.5
IRIS (3),KNN,geometric_mean_score,2.5,2.5,2.5,2.5
IRIS (3),DT,roc_auc,2.5,2.5,2.5,2.5
IRIS (3),DT,f1,2.5,2.5,2.5,2.5
IRIS (3),DT,geometric_mean_score,2.5,2.5,2.5,2.5
IRIS (3),GBC,roc_auc,2.5,2.5,2.5,2.5
IRIS (3),GBC,f1,2.5,2.5,2.5,2.5
IRIS (3),GBC,geometric_mean_score,2.5,2.5,2.5,2.5
LED,LR,roc_auc,1.0,4.0,3.0,2.0
LED,LR,f1,1.0,4.0,2.0,3.0
LED,LR,geometric_mean_score,4.0,3.0,2.0,1.0
LED,KNN,roc_auc,4.0,3.0,2.0,1.0
LED,KNN,f1,3.0,4.0,2.0,1.0
LED,KNN,geometric_mean_score,4.0,3.0,1.0,2.0
LED,DT,roc_auc,3.0,4.0,2.0,1.0
LED,DT,f1,1.5,4.0,3.0,1.5
LED,DT,geometric_mean_score,1.5,4.0,3.0,1.5
LED,GBC,roc_auc,3.0,4.0,2.0,1.0
LED,GBC,f1,2.5,4.0,2.5,1.0
LED,GBC,geometric_mean_score,2.5,4.0,2.5,1.0
YEAST 5 (2),LR,roc_auc,2.0,4.0,3.0,1.0
YEAST 5 (2),LR,f1,4.0,2.0,3.0,1.0
YEAST 5 (2),LR,geometric_mean_score,4.0,2.0,3.0,1.0
YEAST 5 (2),KNN,roc_auc,3.0,4.0,2.0,1.0
YEAST 5 (2),KNN,f1,1.0,4.0,3.0,2.0
YEAST 5 (2),KNN,geometric_mean_score,4.0,3.0,2.0,1.0
YEAST 5 (2),DT,roc_auc,4.0,3.0,2.0,1.0
YEAST 5 (2),DT,f1,4.0,3.0,2.0,1.0
YEAST 5 (2),DT,geometric_mean_score,4.0,3.0,2.0,1.0
YEAST 5 (2),GBC,roc_auc,4.0,3.0,2.0,1.0
YEAST 5 (2),GBC,f1,4.0,2.0,3.0,1.0
YEAST 5 (2),GBC,geometric_mean_score,4.0,3.0,2.0,1.0
HABERMAN,LR,roc_auc,4.0,2.0,3.0,1.0
HABERMAN,LR,f1,4.0,3.0,2.0,1.0
HABERMAN,LR,geometric_mean_score,4.0,3.0,2.0,1.0
HABERMAN,KNN,roc_auc,2.0,4.0,3.0,1.0
HABERMAN,KNN,f1,4.0,3.0,2.0,1.0
HABERMAN,KNN,geometric_mean_score,4.0,3.0,2.0,1.0
HABERMAN,DT,roc_auc,4.0,3.0,2.0,1.0
HABERMAN,DT,f1,4.0,3.0,2.0,1.0
HABERMAN,DT,geometric_mean_score,4.0,3.0,2.0,1.0
HABERMAN,GBC,roc_auc,3.0,4.0,2.0,1.0
HABERMAN,GBC,f1,4.0,3.0,2.0,1.0
HABERMAN,GBC,geometric_mean_score,4.0,3.0,2.0,1.0
SEGMENTATION,LR,roc_auc,4.0,2.0,3.0,1.0
SEGMENTATION,LR,f1,1.0,4.0,2.0,3.0
SEGMENTATION,LR,geometric_mean_score,3.0,2.0,4.0,1.0
SEGMENTATION,KNN,roc_auc,1.0,4.0,3.0,2.0
SEGMENTATION,KNN,f1,1.0,4.0,3.0,2.0
SEGMENTATION,KNN,geometric_mean_score,1.0,4.0,3.0,2.0
SEGMENTATION,DT,roc_auc,4.0,3.0,1.0,2.0
SEGMENTATION,DT,f1,1.0,2.0,4.0,3.0
SEGMENTATION,DT,geometric_mean_score,4.0,2.0,3.0,1.0
SEGMENTATION,GBC,roc_auc,3.0,4.0,2.0,1.0
SEGMENTATION,GBC,f1,4.0,2.0,3.0,1.0
SEGMENTATION,GBC,geometric_mean_score,4.0,3.0,2.0,1.0
PAGE BLOCKS 0,LR,roc_auc,4.0,3.0,2.0,1.0
PAGE BLOCKS 0,LR,f1,4.0,2.0,3.0,1.0
PAGE BLOCKS 0,LR,geometric_mean_score,4.0,2.0,3.0,1.0
PAGE BLOCKS 0,KNN,roc_auc,3.0,4.0,2.0,1.0
PAGE BLOCKS 0,KNN,f1,4.0,2.0,3.0,1.0
PAGE BLOCKS 0,KNN,geometric_mean_score,4.0,2.0,3.0,1.0
PAGE BLOCKS 0,DT,roc_auc,4.0,3.0,2.0,1.0
PAGE BLOCKS 0,DT,f1,1.0,3.0,4.0,2.0
PAGE BLOCKS 0,DT,geometric_mean_score,4.0,3.0,2.0,1.0
PAGE BLOCKS 0,GBC,roc_auc,3.0,4.0,2.0,1.0
PAGE BLOCKS 0,GBC,f1,2.0,3.0,4.0,1.0
PAGE BLOCKS 0,GBC,geometric_mean_score,4.0,3.0,2.0,1.0
SEGMENTATION (2),LR,roc_auc,4.0,2.0,3.0,1.0
SEGMENTATION (2),LR,f1,1.0,4.0,2.0,3.0
SEGMENTATION (2),LR,geometric_mean_score,2.0,4.0,3.0,1.0
SEGMENTATION (2),KNN,roc_auc,2.0,4.0,3.0,1.0
SEGMENTATION (2),KNN,f1,1.0,3.0,4.0,2.0
SEGMENTATION (2),KNN,geometric_mean_score,4.0,2.0,3.0,1.0
SEGMENTATION (2),DT,roc_auc,3.0,4.0,2.0,1.0
SEGMENTATION (2),DT,f1,1.0,4.0,3.0,2.0
SEGMENTATION (2),DT,geometric_mean_score,3.0,4.0,2.0,1.0
SEGMENTATION (2),GBC,roc_auc,3.0,4.0,2.0,1.0
SEGMENTATION (2),GBC,f1,2.0,4.0,3.0,1.0
SEGMENTATION (2),GBC,geometric_mean_score,4.0,3.0,2.0,1.0
HEART,LR,roc_auc,2.0,4.0,3.0,1.0
HEART,LR,f1,4.0,3.0,2.0,1.0
HEART,LR,geometric_mean_score,3.0,4.0,2.0,1.0
HEART,KNN,roc_auc,3.0,4.0,2.0,1.0
HEART,KNN,f1,4.0,2.0,3.0,1.0
HEART,KNN,geometric_mean_score,2.0,4.0,3.0,1.0
HEART,DT,roc_auc,3.0,2.0,4.0,1.0
HEART,DT,f1,4.0,3.0,2.0,1.0
HEART,DT,geometric_mean_score,4.0,3.0,2.0,1.0
HEART,GBC,roc_auc,4.0,3.0,2.0,1.0
HEART,GBC,f1,4.0,3.0,2.0,1.0
HEART,GBC,geometric_mean_score,4.0,3.0,2.0,1.0
YEAST 4 (3),LR,roc_auc,2.0,4.0,3.0,1.0
YEAST 4 (3),LR,f1,4.0,3.0,1.0,2.0
YEAST 4 (3),LR,geometric_mean_score,4.0,3.0,1.0,2.0
YEAST 4 (3),KNN,roc_auc,4.0,3.0,2.0,1.0
YEAST 4 (3),KNN,f1,4.0,2.0,3.0,1.0
YEAST 4 (3),KNN,geometric_mean_score,4.0,3.0,2.0,1.0
YEAST 4 (3),DT,roc_auc,2.0,4.0,3.0,1.0
YEAST 4 (3),DT,f1,2.0,3.0,4.0,1.0
YEAST 4 (3),DT,geometric_mean_score,4.0,3.0,2.0,1.0
YEAST 4 (3),GBC,roc_auc,3.0,4.0,2.0,1.0
YEAST 4 (3),GBC,f1,4.0,2.0,3.0,1.0
YEAST 4 (3),GBC,geometric_mean_score,4.0,3.0,2.0,1.0
PAGE BLOCKS 0 (2),LR,roc_auc,4.0,3.0,2.0,1.0
PAGE BLOCKS 0 (2),LR,f1,4.0,2.0,3.0,1.0
PAGE BLOCKS 0 (2),LR,geometric_mean_score,4.0,2.0,3.0,1.0
PAGE BLOCKS 0 (2),KNN,roc_auc,3.0,4.0,2.0,1.0
PAGE BLOCKS 0 (2),KNN,f1,1.0,3.0,4.0,2.0
PAGE BLOCKS 0 (2),KNN,geometric_mean_score,4.0,3.0,2.0,1.0
PAGE BLOCKS 0 (2),DT,roc_auc,4.0,3.0,2.0,1.0
PAGE BLOCKS 0 (2),DT,f1,1.0,3.0,4.0,2.0
PAGE BLOCKS 0 (2),DT,geometric_mean_score,4.0,3.0,2.0,1.0
PAGE BLOCKS 0 (2),GBC,roc_auc,2.0,4.0,3.0,1.0
PAGE BLOCKS 0 (2),GBC,f1,3.0,2.0,4.0,1.0
PAGE BLOCKS 0 (2),GBC,geometric_mean_score,4.0,3.0,2.0,1.0
PAGE BLOCKS 0 (3),LR,roc_auc,4.0,2.0,3.0,1.0
PAGE BLOCKS 0 (3),LR,f1,4.0,3.0,2.0,1.0
PAGE BLOCKS 0 (3),LR,geometric_mean_score,4.0,3.0,2.0,1.0
PAGE BLOCKS 0 (3),KNN,roc_auc,3.0,4.0,2.0,1.0
PAGE BLOCKS 0 (3),KNN,f1,3.0,2.0,4.0,1.0
PAGE BLOCKS 0 (3),KNN,geometric_mean_score,4.0,3.0,2.0,1.0
PAGE BLOCKS 0 (3),DT,roc_auc,4.0,3.0,2.0,1.0
PAGE BLOCKS 0 (3),DT,f1,1.0,4.0,3.0,2.0
PAGE BLOCKS 0 (3),DT,geometric_mean_score,4.0,3.0,2.0,1.0
PAGE BLOCKS 0 (3),GBC,roc_auc,3.0,4.0,2.0,1.0
PAGE BLOCKS 0 (3),GBC,f1,3.0,2.0,4.0,1.0
PAGE BLOCKS 0 (3),GBC,geometric_mean_score,4.0,3.0,2.0,1.0
YEAST 4 (2),LR,roc_auc,1.0,4.0,3.0,2.0
YEAST 4 (2),LR,f1,4.0,3.0,1.0,2.0
YEAST 4 (2),LR,geometric_mean_score,4.0,2.0,3.0,1.0
YEAST 4 (2),KNN,roc_auc,4.0,3.0,2.0,1.0
YEAST 4 (2),KNN,f1,4.0,2.0,3.0,1.0
YEAST 4 (2),KNN,geometric_mean_score,4.0,3.0,2.0,1.0
YEAST 4 (2),DT,roc_auc,4.0,3.0,2.0,1.0
YEAST 4 (2),DT,f1,4.0,2.0,3.0,1.0
YEAST 4 (2),DT,geometric_mean_score,4.0,2.0,3.0,1.0
YEAST 4 (2),GBC,roc_auc,3.0,4.0,2.0,1.0
YEAST 4 (2),GBC,f1,4.0,3.0,2.0,1.0
YEAST 4 (2),GBC,geometric_mean_score,4.0,3.0,2.0,1.0
SEGMENTATION (3),LR,roc_auc,4.0,2.0,3.0,1.0
SEGMENTATION (3),LR,f1,1.0,4.0,2.0,3.0
SEGMENTATION (3),LR,geometric_mean_score,4.0,3.0,1.0,2.0
SEGMENTATION (3),KNN,roc_auc,4.0,3.0,2.0,1.0
SEGMENTATION (3),KNN,f1,1.0,3.0,4.0,2.0
SEGMENTATION (3),KNN,geometric_mean_score,4.0,3.0,2.0,1.0
SEGMENTATION (3),DT,roc_auc,4.0,3.0,2.0,1.0
SEGMENTATION (3),DT,f1,3.0,4.0,2.0,1.0
SEGMENTATION (3),DT,geometric_mean_score,4.0,3.0,2.0,1.0
SEGMENTATION (3),GBC,roc_auc,3.0,4.0,2.0,1.0
SEGMENTATION (3),GBC,f1,2.0,4.0,3.0,1.0
SEGMENTATION (3),GBC,geometric_mean_score,3.0,4.0,2.0,1.0
MANDELON 1,LR,roc_auc,1.0,4.0,3.0,2.0
MANDELON 1,LR,f1,4.0,2.0,3.0,1.0
MANDELON 1,LR,geometric_mean_score,4.0,2.0,3.0,1.0
MANDELON 1,KNN,roc_auc,3.0,4.0,2.0,1.0
MANDELON 1,KNN,f1,4.0,2.0,3.0,1.0
MANDELON 1,KNN,geometric_mean_score,4.0,3.0,2.0,1.0
MANDELON 1,DT,roc_auc,3.0,4.0,1.0,2.0
MANDELON 1,DT,f1,1.0,4.0,3.0,2.0
MANDELON 1,DT,geometric_mean_score,4.0,2.0,3.0,1.0
MANDELON 1,GBC,roc_auc,4.0,3.0,2.0,1.0
MANDELON 1,GBC,f1,2.0,3.0,4.0,1.0
MANDELON 1,GBC,geometric_mean_score,4.0,2.0,3.0,1.0
IRIS (2),LR,roc_auc,2.5,2.5,2.5,2.5
IRIS (2),LR,f1,2.5,2.5,2.5,2.5
IRIS (2),LR,geometric_mean_score,2.5,2.5,2.5,2.5
IRIS (2),KNN,roc_auc,2.5,2.5,2.5,2.5
IRIS (2),KNN,f1,2.5,2.5,2.5,2.5
IRIS (2),KNN,geometric_mean_score,2.5,2.5,2.5,2.5
IRIS (2),DT,roc_auc,2.5,2.5,2.5,2.5
IRIS (2),DT,f1,2.5,2.5,2.5,2.5
IRIS (2),DT,geometric_mean_score,2.5,2.5,2.5,2.5
IRIS (2),GBC,roc_auc,2.5,2.5,2.5,2.5
IRIS (2),GBC,f1,2.5,2.5,2.5,2.5
IRIS (2),GBC,geometric_mean_score,2.5,2.5,2.5,2.5
MANDELON 1 (3),LR,roc_auc,1.0,3.0,4.0,2.0
MANDELON 1 (3),LR,f1,4.0,3.0,2.0,1.0
MANDELON 1 (3),LR,geometric_mean_score,4.0,2.0,3.0,1.0
MANDELON 1 (3),KNN,roc_auc,4.0,3.0,2.0,1.0
MANDELON 1 (3),KNN,f1,4.0,3.0,2.0,1.0
MANDELON 1 (3),KNN,geometric_mean_score,4.0,3.0,2.0,1.0
MANDELON 1 (3),DT,roc_auc,2.0,4.0,3.0,1.0
MANDELON 1 (3),DT,f1,2.0,3.0,4.0,1.0
MANDELON 1 (3),DT,geometric_mean_score,4.0,3.0,2.0,1.0
MANDELON 1 (3),GBC,roc_auc,2.0,4.0,3.0,1.0
MANDELON 1 (3),GBC,f1,3.0,4.0,2.0,1.0
MANDELON 1 (3),GBC,geometric_mean_score,4.0,3.0,2.0,1.0
LIVER (3),LR,roc_auc,3.0,4.0,1.0,2.0
LIVER (3),LR,f1,4.0,3.0,2.0,1.0
LIVER (3),LR,geometric_mean_score,4.0,3.0,2.0,1.0
LIVER (3),KNN,roc_auc,3.0,2.0,4.0,1.0
LIVER (3),KNN,f1,4.0,3.0,2.0,1.0
LIVER (3),KNN,geometric_mean_score,4.0,3.0,2.0,1.0
LIVER (3),DT,roc_auc,4.0,3.0,2.0,1.0
LIVER (3),DT,f1,3.0,4.0,2.0,1.0
LIVER (3),DT,geometric_mean_score,4.0,3.0,2.0,1.0
LIVER (3),GBC,roc_auc,1.0,4.0,3.0,2.0
LIVER (3),GBC,f1,3.0,2.0,4.0,1.0
LIVER (3),GBC,geometric_mean_score,4.0,2.0,3.0,1.0
HABERMAN (2),LR,roc_auc,4.0,3.0,2.0,1.0
HABERMAN (2),LR,f1,4.0,3.0,2.0,1.0
HABERMAN (2),LR,geometric_mean_score,4.0,2.0,3.0,1.0
HABERMAN (2),KNN,roc_auc,3.0,4.0,2.0,1.0
HABERMAN (2),KNN,f1,3.0,4.0,2.0,1.0
HABERMAN (2),KNN,geometric_mean_score,4.0,3.0,2.0,1.0
HABERMAN (2),DT,roc_auc,3.0,4.0,2.0,1.0
HABERMAN (2),DT,f1,4.0,3.0,2.0,1.0
HABERMAN (2),DT,geometric_mean_score,4.0,3.0,2.0,1.0
HABERMAN (2),GBC,roc_auc,4.0,3.0,2.0,1.0
HABERMAN (2),GBC,f1,4.0,3.0,2.0,1.0
HABERMAN (2),GBC,geometric_mean_score,4.0,3.0,2.0,1.0
ECOLI (3),LR,roc_auc,1.0,4.0,3.0,2.0
ECOLI (3),LR,f1,4.0,3.0,2.0,1.0
ECOLI (3),LR,geometric_mean_score,4.0,3.0,1.0,2.0
ECOLI (3),KNN,roc_auc,1.0,4.0,3.0,2.0
ECOLI (3),KNN,f1,1.0,4.0,3.0,2.0
ECOLI (3),KNN,geometric_mean_score,4.0,3.0,2.0,1.0
ECOLI (3),DT,roc_auc,4.0,3.0,2.0,1.0
ECOLI (3),DT,f1,3.0,4.0,2.0,1.0
ECOLI (3),DT,geometric_mean_score,4.0,3.0,2.0,1.0
ECOLI (3),GBC,roc_auc,4.0,3.0,2.0,1.0
ECOLI (3),GBC,f1,2.0,4.0,3.0,1.0
ECOLI (3),GBC,geometric_mean_score,4.0,3.0,2.0,1.0
DERMATOLOGY,LR,roc_auc,2.5,2.5,2.5,2.5
DERMATOLOGY,LR,f1,2.5,2.5,2.5,2.5
DERMATOLOGY,LR,geometric_mean_score,2.5,2.5,2.5,2.5
